"","MMRS12272136ST-27-0-0","MMRS14379078ST-27-0-0","MMRS14602194ST-27-0-0","MMRS15137911ST-27-0-0","MMRS16644320ST-27-0-0","MMRS18295921ST-27-0-0","MMRS24340226ST-27-0-0","MMRS25641480ST-27-0-0","MMRS31306426ST-27-0-0","MMRS34525504ST-27-0-0","MMRS41266697ST-27-0-0","MMRS41711735ST-27-0-0","MMRS42780924ST-27-0-0","MMRS43563715ST-27-0-0","MMRS43939546ST-27-0-0","MMRS44197125ST-27-0-0","MMRS44203591ST-27-0-0","MMRS44587603ST-27-0-0","MMRS47662059ST-27-0-0","MMRS47685461ST-27-0-0","MMRS51410669ST-27-0-0","MMRS51728985ST-27-0-0","MMRS54316675ST-27-0-0","MMRS55294627ST-27-0-0","MMRS59699117ST-27-0-0","MMRS62376181ST-27-0-0","MMRS64281211ST-27-0-0","MMRS65205033ST-27-0-0","MMRS65945127ST-27-0-0","MMRS67247116ST-27-0-0","MMRS68910755ST-27-0-0","MMRS71762412ST-27-0-0","MMRS72802364ST-27-0-0","MMRS72980899ST-27-0-0","MMRS77018926ST-27-0-0","MMRS77321055ST-27-0-0","MMRS77487595ST-27-0-0","MMRS78791111ST-27-0-0","MMRS80093644ST-27-0-0","MMRS81194191ST-27-0-0","MMRS81671217ST-27-0-0","MMRS84954772ST-27-0-0","MMRS85382779ST-27-0-0","MMRS86178473ST-27-0-0","MMRS86958796ST-27-0-0","MMRS90191266ST-27-0-0","MMRS92544445ST-27-0-0","MMRS93508324ST-27-0-0","MMRS96422329ST-27-0-0","MMRS97052561ST-27-0-0","MMRS97327636ST-27-0-0","MMRS99045180ST-27-0-0"
"Dialister pneumosintes",0,0,0,0,0,0.0047,0,0,0,0,0,0.06124,0,0,0,0.12501,0,0,0,0,0,0,0.09505,0,0,0,0,0.2383,0,0,0,0,0.07115,0,0,0,0,0,0,0.85139,0.00284,0,0,0,0,0.01059,0,0,0,0.05101,0,0
"Tractidigestivibacter scatoligenes",0,0,0,0,0,0.00384,0,0.00838,0,0.00035,0,0,5e-05,0,0,0,0,0,0,0,0,0,0.00276,0,0,0.00013,0,0.00358,0,0,0,0,0,0,0.00116,0,0.004,0,0,0.00091,0,0,0,0,0,0.00078,0,0,0,0,0,0
"Fusobacterium sp. oral taxon 370",0,0,0,0,0,0.00366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539,0,0,0,0,0,0,0,0,0.05055,0,0
"Filifactor alocis",0,0,0,0,0,0.00354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus peroris",0,0,0,0,0,0.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus sp. CAG:579",0,0,0,0,0,0.00257,0,0,0,0,0,0,0,0,0,0,0,0,3.06239,0,0,0,0,0,0,0,0,0,0,0,0.00795,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01312,0,0,0,0,0,0,0
"Actinomyces viscosus",0,0,0,0,0,0.00091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lancefieldella rimae",0,0,0,0,0,0.00074,0,0,0,0,0,0,0,0,0,0,0,0.00048,0,0,0,0,0,0,0,0.00075,0,0.06979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella stercorea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50563,2.50847,0,0,0
"Bacteroides sp. CAG:530",0,0,0,0,0,0,0,0,0,1.58868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,0,0,0,0,0,0
"Clostridium sp. CAG:510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24899,0.00239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42873,0,0,0,0,0,0,0,0,0
"Butyrivibrio sp. CAG:318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00067,0,0,0.00031,0,0,0,0,0,0.00031,0,0.00098,0,0,0.14945,0,0,0,0,0,0,0,0,7.33614,0,0,0,0,0,0
"Firmicutes bacterium CAG:534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Bacteroides] pectinophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01072,0.00569,0,0,0,0,0,0
"Roseburia sp. CAG:303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54525,0,0.2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39408,0,0.03122,0,0,0.14023,0.25585,0.12419,0.23472,0,0,0,0,0,0.16077,0,0
"Clostridium sp. CAG:413",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium callanderi",0,0,0,0,0,0,0.02342,0.00397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04132,0
"Eubacterium limosum",0,0,0,0,0,0,0.00503,0,0,0,0,0.01397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024,0,0,0,0,0.00092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166,0,0,0,0.2287,0.01382
"Bacteroides stercorirosoris",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044,0,0,0,0,0.50606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135,0,1.49271,0,0,0,0,0
"Prevotella disiens",0,0,0,0,0,0,0,0.00461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03384,0,0,0,0,0,0,0,0,0,0,0.00103,0,0
"Erysipelothrix larvae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus sp. CAG:403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides sp. 43_108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister invisus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.03791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01218,0.55888,0,0,0,0,0.05703,0,1.90895,0,0,0,0.05073,0,0,0,0.71965,0,0,0,0,0.55296,0.10449,0,0
"Citrobacter braakii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0742
"Clostridium sp. CAG:964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02907,0,0,0,0,1.51361,0,0,0,0.45256,0,0,0,0
"[Clostridium] hylemonae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164,0,0,0,0,0,0,0,0.00149,0.04302,0,0,0,0,0,0,0.00391,0,0,0,0,0,0,0,0.33614,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes bacterium CAG:646",0,0,0,0,0,0,0.33707,0,1.59548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00027,0,0,0,0,0,0,0
"Butyricicoccus pullicaecorum",0,0,0,0,0,0,0.19929,0,0,0,0.26115,0,0.10644,0,0,0,0,0,0,0,0,0,0,0,0.0172,0,0.12966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella bivia",0,0,0,0,0,0,0.01853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078,0,0,0,0,0,0.16163,0,0
"Prevotella corporis",0,0,0,0,0,0,0.00633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01114,0,0.00379,0,0,0,0,0,0,0
"Blautia argi",0,0,0,0,0,0,0.00459,0,1.25989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248,0,0,0,0,0,0,0
"Bifidobacterium pseudocatenulatum",0,0,0,0,0,0,0,0,0.01783,0.00031,0,0,0.03038,0,0,0,0.20094,0,0,0,0,0,0,0.22861,0,0,0,0.01203,0,0.03071,0,0.00753,0,0,0,0,0.11448,0,0,0,0,0,0,0,0.26007,0.02521,0.58029,0,0.10305,0,0,0
"Massilimicrobiota timonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02893,0,0,0,0,0,0,0,0,0,0,0,0,0.06545,0
"Gemmiger sp. An87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoflavonifractor capillosus",0,0,0,0,0,0,0,0.00199,0,0,0.0014,0,0.00133,0,0,0.03386,0,0,0,0.0116,0,0,0,0,0,0,0,0,0,0.0134,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0.00551,0.00031,0,0,0,0,0,0,0
"Anaerostipes caccae",0,0,0,0,0,0,0,0.03248,0,0,0,0,0,0,0,0,0,0,0,0.00286,0,0,0,0,0.00725,0,0.00133,0,0,0,0.01698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fannyhessea vaginae",0,0,0,0,0,0,0,0.01225,0,0,0,0,0,0,0,0,0,0.00167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyramidobacter piscolens",0,0,0,0,0,0,0,0.00821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12687,0,0,0,0,0,0,0,0,0,0.02896,0,0,0
"Atopobium deltae",0,0,0,0,0,0,0,0.0039,0,0,0,0,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157,0,0.00078,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mageeibacillus indolicus",0,0,0,0,0,0,0,0.00363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides sp. D2",0,0,0,0,0,0,0,0.00294,0,0,0.00736,0,0,0,0,0,0.04728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00673,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0,0,0,0
"Romboutsia ilealis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides gordonii",0,0,0,0,0,0,0,0,0.00935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148,0,0,0,0,0,0
"Candidatus Stoquefichus sp. KLE1796",0,0,0,0,0,0,0,0,0.00869,0,0,0,0.02717,0.01694,0.00622,0,0,0,0,0,0,0,0,0,0.0801,0.13796,0,0,0,0.00238,0,0.0099,0.00319,0,0,0,0,0,0,0,0,0.11711,0.00615,0.0817,0.0383,0,0,0,0.01082,0,0,0
"Streptococcus gallolyticus",0,0,0,0,0,0,0,0,0.00439,0,0,0,0,0,0.07208,0,0.02318,0,0,0,0,0,0,0,0.00091,0,0,0,0,0,0,0,0,0,0,0,0,0.00694,0,0,0,0,0,0,0,0.00095,0,0,0,0,0,0
"Alistipes timonensis",0,0,0,0,0,0,0,0,0.00027,0.0045,0,0,0.00448,0,0,0,0.01464,0,0,0,0,0,0.01389,0,0,0,0.03392,0,0,0.00048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00239,0,0,0,0.09399,0,0
"Bacteroides fluxus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium sp. CAG:411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus sputorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oribacterium parvum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Eubacterium] brachy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08026,0,0,0,0,0,0,0,0,0,0,0,0
"Oribacterium sinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00581,0,0,0,0,0,0,0,0.00078,0,0.00269,0,0,0,0,0,0.00701,0,0,0,0,0,0,0,0,0,0.01071,0,0,0,0,0,0,0,0
"Pseudomonas fragi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olsenella uli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03918,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium periodonticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00808,0,0,0,0,0,0.01197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01279,0,0
"Lactobacillus crispatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus cristatus",0,0,0,0,0,0,0,0,0,0,0,0.00197,0,0.00046,0,0,0,0,0,0,0,0,0,0,0,0.01206,0,0.00797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ligilactobacillus ruminis",0,0,0,0,0,0,0,0,0,0.0378,0,0,0,0,0,0,0,0,0,0,0,0,0.21373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hafnia alvei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanosphaera stadtmanae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella sp. 885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02948,0,0,26.14893,0,0,0,0,0,0.03501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citrobacter youngae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00292
"Citrobacter portucalensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morganella morganii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citrobacter freundii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00516,0,0,0,0,0,0,0,0
"Lactobacillus delbrueckii",0,0,0,0,0,0,0,0,0,0,0,0,0,0.01466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01456,0,0,0,0,0,0,0,0,0
"Leuconostoc mesenteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609,0,0,0,0,0,0,0,0,0,0,0,0.03438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella aerogenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citrobacter werkmanii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella variicola CAG:634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campylobacter concisus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10215,0.44388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium breve",0,0,0,0,0,0,0,0,0,0,0,0.08096,0,0,0,0,0,0,0,0.44507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218,0,0,0,0,0,0,0,0
"Enterococcus faecium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus parahaemolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeriscardovia aeriphila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151,0,0,0,0,0,0,0.00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00182,0,0,0,0
"Anaerofilum sp. An201",0,0,0,0,0,0,0,0,0,0,0,0,0.00134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05507,0.00049
"Terrisporobacter othiniensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiales bacterium CHKCI006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrio vulgaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aliarcobacter butzleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comamonas kerstersii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megamonas funiformis CAG:377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megamonas funiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25003,0,0,0
"Megamonas hypermegale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23687,0,0,0
"Clostridium sp. CAG:590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium angulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium sp. D5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00813,0,0,0,0,0,0.0098,0,0,0,0,0,0,0,0,0,0,0,0.08998,0
"Denitrobacterium detoxificans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059,0,0,0,0,0,0,0,0,0,0.00181,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes bacterium CAG:424",0,0,0,0,0,0,0,0,0,0,2.09418,0,0.00051,0,0.13317,0,0.00699,0,0,0.01156,0,0,0,0,0,0.00794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01481
"Flavonifractor sp. An82",0,0,0,0,0,0,0,0,0,0,0.00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aggregatibacter segnis",0,0,0,0,0,0,0,0,0,0,0,0.03538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murimonas intestini",0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.00342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fructilactobacillus sanfranciscensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189,0,0,0,0,0.02482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00363,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium mortiferum",0,0,0,0,0,0,0,0,0,0,0,0,0.48623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptostreptococcus anaerobius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0,0,0,0,0.00453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127,0,0.02548,0.14123,0,0,0,0,0,0.00333,0,0,0,0,0,0
"Negativicoccus succinicivorans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloprevotella tannerae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95474,0,0,0,0,0,0,0,0,0,0,0,0.00152,0,0,0,0,0,0,0,0,0,0,0,0.0111,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella buccalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Eubacterium] infirmum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02926,0,0,0,0,0,0,0,0,0,0,0,0.0123,0,0,0,0,0.00101,0,0,0,0,0,0,0,0.00195,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium sp. An118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03046,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae bacterium 2_1_46FAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71012,0,0,0,0,0,0,0,0,0,0.81049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00972,0,0,0,0,0,0,0
"Clostridium butyricum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02122,0,0,0,0,0.422,0,0,0,0,0.02874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola coprocola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07142,0,0,0,0,0,0,0,0,0,0,3.53888,0.00044,0,0,0,0,0,0,0,0,1.62941,0.00251,0,0,0,0,0,0,0,0,0,0,0
