"","CCIS02379307ST-4-0","CCIS06260551ST-3-0","CCIS11015875ST-4-0","CCIS12370844ST-4-0","CCIS12656533ST-4-0","CCIS14449628ST-4-0","CCIS15704761ST-4-0","CCIS17669415ST-4-0","CCIS21278152ST-4-0","CCIS22416007ST-4-0","CCIS22958137ST-20-0","CCIS24254057ST-4-0","CCIS33816588ST-4-0","CCIS34055159ST-4-0","CCIS35100175ST-4-0","CCIS38765456ST-20-0","CCIS40244499ST-3-0","CCIS41222843ST-4-0","CCIS41288781ST-4-0","CCIS41548810ST-4-0","CCIS44757994ST-4-0","CCIS46047672ST-4-0","CCIS46467422ST-4-0","CCIS47284573ST-4-0","CCIS48725289ST-4-0","CCIS50148151ST-4-0","CCIS52370277ST-4-0","CCIS53043478ST-4-0","CCIS53355328ST-4-0","CCIS55230578ST-4-0","CCIS58234805ST-4-0","CCIS59132091ST-4-0","CCIS61287323ST-4-0","CCIS62605362ST-3-0","CCIS62794166ST-4-0","CCIS65479369ST-4-0","CCIS71301801ST-4-0","CCIS72607085ST-4-0","CCIS76845094ST-20-0","CCIS77252613ST-4-0","CCIS78318719ST-4-0","CCIS81887263ST-4-0","CCIS82146115ST-4-0","CCIS83870198ST-4-0","CCIS84543192ST-4-0","CCIS85214191ST-3-0","CCIS87116798ST-4-0","CCIS87167916ST-4-0","CCIS87252800ST-4-0","CCIS87605453ST-4-0","CCIS91228662ST-4-0","CCIS98512455ST-4-0","CCIS98832363ST-4-0"
"Bacteroides sp. CAG:598",0,0.02587,0,0,0,0,0,0,0.01229,0,0,0,0,0,0,3.34528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus intestini",0,0.0133,0,0,0,0,26.17045,0,0,0,0,0,0,0,0,0.05668,0,0,0,0,0,0,0,0,0,0,0.85144,0,0,0.06318,0,0,0,0,0,0,0,0,1.55456,0.95767,0.16421,0,0,0,0,0.12708,0.09573,0,0,0,0,0,0
"Bacteroides sp. 43_108",0,0.01242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium sp. An196",0,0.01219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ligilactobacillus salivarius",0,0.00995,0,0,0,0,0,0.0522,0,0,0,0,0,0,0,0,0.03382,0.00105,0,0,0,0,0,0,0,0,0.01011,0,0.03945,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46475,0,0,0,0,0,0,0,0.28001,0,0
"Ruminococcaceae bacterium D16",0,0.00676,0.00081,0,0,0.00242,0,0,0,0.01901,0,0,0,0,0,0.04995,0,0,0,0,0,0,0,0,0,0.02443,0,0,0,0,0.00063,0,0,0,0.32523,0,0,0,0,0,0.04719,0.00011,0.00594,0,0,0,0,0.13283,0,0,0,0,0.00016
"Anaerobiospirillum thomasii",0,0.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catenibacterium mitsuokai",0,0,0,0,0,0,0,0,0.02224,0,0,0,1.06316,0,0,0.09562,0,0,0,0,0,0,0,0,0,0,0,0.61442,0,0,0,0,0,0,0,0.24929,0,0,0,5.418,0,0,0,0,0,0,0.30398,0,0,0,0.75673,0,0
"Pediococcus pentosaceus",0,0,0,0,0,0,0,0,0.00822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides salyersiae",0,0,0,0,0,2.11774,0,0.03813,0,0,0,0,3.99367,0,0.39036,0,0,0.00116,0,0,0.21708,0,0,0.47666,0,0,0.00097,0,0.88971,0,0.17439,0,0.38039,0.17283,0,0,0.9028,0,0,0,0,0,0,0,0,2.14758,0,0.00287,0,0,0.97834,0,0
"Sharpea azabuensis",0,0,0,0,0,0,0,0,0,0,0,0,0.00111,0,0,0.00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00392,0,0,0.00053,0,0,0,0.00219,0,0,0,0,0,0
"Methanosphaera stadtmanae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium catenulatum",0,0,0,0,0,0,0,0,0,0,0.07879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5499,0,0,0,0,0,0,0,0,0,0.01906,0,0,0.00525,0,0,0,0.28148,0,0,0,0.16222,0,0,0,0,0
"Limosilactobacillus vaginalis",0,0,0,0,0,0,0,0.01339,0,0,0,0,0,0.00383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092,0,0
"Corynebacterium argentoratense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola coprocola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15541,0,0.1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00213,0,0,0,0,0,0,1.47434,0,0,0,0,0,0,0.33074,0,0,0,0.56777,0,0
"Limosilactobacillus fermentum",0,0,0,0,0,0,0,0,0,0,0,0.00821,0,0.17228,0,0,0,0,0,0,0,0,0,0,0,0,0.01583,0,0,0,0,0,0,0,0,0,0,0,0.00776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterocloster clostridioformis",0,0,0,0,0,0.42497,5.25533,0,0,0.00907,0,0.31774,0,0,0,0,0,0,0.14972,0,0.00125,0,0.00392,0,0,0.14688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12426,0,0.28479,0,0,0,0,0.00098
"Limosilactobacillus mucosae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04163,0,0.04914
"Lactobacillus paragasseri",0,0,0,0,0,0,0.00609,0.08077,0,0,0.00111,0,0,0.31533,0.0991,0,0.20478,0,0,0,0,0,0,0,0,0,0.00968,0,0.1939,0,0,0,0,0,0,0,0,0,0.07072,0,0,0,0,0,0,0,0,0,0,0,0.37042,0,0
"Lautropia mirabilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas gingivalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus delbrueckii",0,0,0,0,0.00835,0,0,0,0,0,0,0,0,0.00205,0,0,0,0.00475,0,0,0,0,0,0,0.01226,0,0.00886,0.00107,0,0,0.00113,0.28645,0,0,0.00032,0,0,0.00154,0,0,0,0.06249,0,0,0,0,0.10963,0,0,0,0,0,0
"Enterocloster aldenensis",0,0,0,0,0,0.00242,0.00101,0,0,0,0,0.09066,0.00083,0,0,0,0,0,0.20833,0.00294,0,0.0032,0,0,0,0.0064,0.00268,0,0,0,0,0,0,0,0,0,0.01868,0,0,0,0,0,0,0,0,0.04374,0,0,0.0254,0.02006,0,0,0
"Anaerofilum sp. An201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides johnsonii",0,0,0,0,0,0,0,0.13814,0,0,0,0,0,0.02265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092,0,0,0.05264,0,0,0,1.46832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26764,0,0
"Butyricicoccus pullicaecorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294,0,0,0,0,0,0,0
"Enterococcus durans",0,0,0,0,0,0,0,0.23804,3.10968,0,0,0,0,0,0,0.00109,0,0,0,0,0,0,0,0,0,0,0.00057,0,0,1.53307,0,0,0,0.08812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04164,0,0,0
"Clostridiales bacterium 1_7_47FAA",0,0,0,0,0,0,0,0,0,0,0,0.00369,0,0,0,0,0,0,0,0.00244,0,0,0,0,0,0,0.04402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lancefieldella parvula",0,0,0,0,0,0.01717,0,0.05696,0.00362,0,0,0,0,0.01086,0.0085,0.01057,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0.04758,0,0.00048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01093
"Christensenella hongkongensis",0,0,0,0,0.01735,0,0,0,0,0,0,0,0.00889,0,0,0,0,0.00537,0,0,0,0,0,0.00984,0,0,0,0,0,0.00886,0,0,0,0,0.00405,0,0,0.16133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scardovia wiggsiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339,0,0,0,0,0.00215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrionaceae bacterium",0,0,0.23269,0,0,0,0,0,0,0,0.11324,0,0,0,0.12008,0.01467,0,0,0,0,0.41164,0,0,0,0,0,0,0,0,0,0,0.00029,0.12397,0,0,0,0,0,0,0.11759,0,0,0,0,0,0.04689,0.01185,0,0,0,0.11927,0,0
"Propionibacterium acidifaciens",0,0,0,0,0,0,0,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00889,0,0,0,0,0,0
"Lacticaseibacillus rhamnosus",0,0,0,0,0,0,0.0826,0,0,0,0,0.00076,0,0,0.02226,0,0,0,0,0,0,0,0,0,0,0.00534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides faecis CAG:32",0,0,0,0,0,0,0,0.28582,0,0,0,0,0,0.0152,0.00155,0,0,0,0,0,0,0,0,0,0,0,1.66789,0,0.80495,0.00481,0,0,0.00116,0,0,0,5.1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerofustis stercorihominis",0,0,0,0,0,0,0,0,0,0.02872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00678,0
"Prevotella sp. CAG:279",0,0,0.12702,0,0,0,0,0.00287,0.26662,0,0,0,0,0,0.10721,0,0,0,0,3.83712,0.01105,0,0,0,0,0,0,5.54757,0,0,0,0,0.64122,0,0,0.17316,0,0,0,1.479,0.85866,0,0.33138,0,0.93605,0,0,0,0,0,0,0,0
"Clostridium sp. CAG:632",0,0,0,0,0,0,0,0.00191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sellimonas intestinalis",0,0,0.04116,0,0,0,1.87678,2.1999,0,0.0183,0,0,0,0,0,0,0,0,0.84094,0.01029,0,0.37031,0,0.04467,0,0,0.24915,0,0,0,0,0,0,0,0.03195,0,0,0.72103,0.02785,0,0,0,0.21556,0,0,0,0,0,0.07647,0,0,0,0
"Bacteroides sp. OM08-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella sp. CAG:755",0,0,0,0,0,0,0,1.12322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135,0,0,0,0,0,0,0,0,0
"Dialister succinatiphilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00656,0,0,0,0,0,0.10148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04692,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides sp. CAG:927",0,0,0,0,0.00438,0,0,0,0,0,0,0,0.53313,0.00608,0,2.88416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66919,0,0,0.05469,0,0,0,0,0,0,0,0,0
"Helicobacter pullorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schaalia turicensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12292,0.00623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitsuokella jalaludinii",0,0,0,0,0,0,0,0,0.05683,0,0,0,0,0,0,0.15868,0,0,0,0,0,0,0,0,0,0,0,0.00119,0,0,0.47152,0,0,0,0,0.01203,0,0,0,0.39918,0.78718,0,0,0,0.07134,0,0.00081,0,0,0.17378,0,0,0
"Haemophilus sputorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00165,0,0,0,0,0,0,0,0,0,0,0
"Veillonella rogosae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella aerogenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505,0
"Tyzzerella nexilis",0,0,0,0,0,0,0.18221,0.00892,0,0,0,0,0.02391,0,0,0,0.05783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0604,0,0,0,0,0,0,0,0,0.00157,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitsuokella multacida",0,0,0,0,0,0,0,0,0.00317,0,0,0,0,0,0,0.00369,0,0,0,0,0,0,0,0,0,0,0,0.29876,0,0,0.02462,0,0,0,0,0.00116,0,0,0,0.11223,0.12078,0,0,0,2.67396,0,0,0,0,0.036,0,0,0
"Prevotella timonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister sp. CAG:357",0,0,0,0,0,0,0,0,0,0,0,0,0.31368,0,0,0,0,0,0,0,0,0,0.3778,0,0,0,0,0,0,0,0,0,0.0196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88716
"Roseburia sp. CAG:182",0,0,0,0,0,0,0,0,0.02722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01518,0.18507,0,0,0.12765,0,0.03769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19809
"Veillonella tobetsuensis",0,0,0,0,0,0.00312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella sp. T11011-6",0,0,0,0,0,0.10699,0.01156,0.0151,0,0,0,0,0,0,0.00435,0,0,0,0,0,0,0,0,0,0,0,0.00146,0,0,0,0.00096,0,0.00315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00797,0,0
"Phascolarctobacterium sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces sp. oral taxon 181",0,0,0,0,0,0.01107,0.00834,0.00206,0,0,0,0.00173,0,0.00926,0.0107,0,0,0.00602,0.00088,0,0,0,0,0,0,0.00754,0.00308,0,0,0,0,0,0.00185,0,0,0,0,0,0,0,0,0,0,0.00193,0,0,0,0,0,0,0,0.00338,0
"Corynebacterium durum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061,0,0,0,0,0,0,0,0,0,0
"Lachnoanaerobaculum saburreum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus sp. CAG:579",0,0,4.48222,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0.00906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46748,0,0,0,0,0,0,0,0,0,0,2.09675
"[Bacteroides] pectinophilus",0,0,0.68276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16303,0,0,0,1.26158,0,0.00849,0,0.0795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proteus mirabilis",0,0,0.01851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Treponema socranskii",0,0,0.00064,0,0,0.00898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megasphaera elsdenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04817,0,0,0,0,0,0,0.0669,0,0,0,0.01072,0,0,0,0.67748,0,0,0,0,0.55894,0,0,0,1.17669,0,0,0,0,1.14138,0,0,0,0,0,0,0,0
"Lacrimispora saccharolytica",0,0,0,0,0,0.03418,0,0.14906,0,0.00405,0,0,0,0,0,0,0,0,3.51608,0,0,0,0,0,0,0,0.06677,0,0,0,0,0.00444,0,0,0,0,0,0,0,0,0,0,0.05667,0.01058,0,0,0,0,0,0,0,0,0
"Oribacterium sinus",0,0,0,0,0,0.00056,0,0,0,0,0.00019,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.00208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megasphaera stantonii",0,0,0,0,0,0.00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes sp. An31A",0,0,0,0,0,0,0,0.66514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium callanderi",0,0,0,0,0.06223,0,0,0,0,0,0,0.53422,0.11451,0,0,0.04501,0,0,0,0,0,0,0,0,0,0,0,0.00226,0,0,0,0,0,0,0.00311,0,0,0,0,0,0,0,0,0,0,0,0.03119,0,0,0,0,0,0
"Bifidobacterium pullorum",0,0,0,0,0.00587,0,0,0,0,0,0,0,0,0,0,0.0391,0,0,0.2993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium mortiferum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02056,0,0,0,0,0,0,0,0,0,0,0.14815,0,0
"Flavonifractor sp. An10",0,0,0,0,0.05099,0,0,0,0,0,0,0,0,0,0,0.00758,0,0,0,0,0,0.10385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,0.1043,0,0,0,0,0
"Lachnoclostridium sp. An14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus avium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Clostridium] methylpentosum",0,0,0,0,0,0,0,0,0,0,0,0.05399,0,0,0,0,0,0.00764,0,0,0,0,0,0,0,0,0.00286,0,0,0,0,0,0,0,0,0,0,0.04124,0,0,0,0,0,0,0,0,0,0,0,0.00445,0,0,0
"Limosilactobacillus reuteri",0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,0,0,0,0,0.14481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054
"Klebsiella pneumoniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.08741,0,0,0,0,0,0,0,0,0,0,0,0.02212,0,0,0,0,0,0,0.68153,0,0.00497,0,0,0,0.02035,0,0.00776,0.01075,0,0,0,0,0,0.10793,0,0,0,0,0
"Bacteroides sp. CAG:462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella sp. CAG:5226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00264,0,0,3.87208,0,0,0,0,0,0,3.33067,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella variicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10994,0,0,0,0,0,0.00685,0,0,0.00204,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella quasipneumoniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04275,0,0,0,0,0,0.00283,0,0,0,0,0,0,0,0,0.0128,0,0,0,0,0
"Enterococcus hirae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Eubacterium] saphenum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01369,0,0,0,0,0,0,0,0,0,0,0.00144,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus sp. CAG:542",0,0,0,0,0,0,0,0.00749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces radicidentis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium sp. D5",0,0,0,0,0,0,0,0,0,0,0,0,0.11737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01809,0,0,0,0,0,0,0
"Mogibacterium pumilum",0,0,0,0,0,0,0,0.00096,0,0,0,0,0,0,0.00511,0.00338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078,0,0,0,0,0,0,0,0,0,0,0.00376,0,0,0,0,0,0,0,0,0,0
"Candidatus Gastranaerophilales bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01932,0.11691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06336,0,0.03205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerotignum lactatifermentans",0,0,0,0,1.16479,0.09441,0,0.12087,0,0.43819,0,0,0,1.6734,0,0.14433,0,0,8.6349,0,0,0,0,0,0,0,0,0,0,0.02996,0,0,0,0,0.03993,0,0,0,0,0,0,0,0.53955,7e-04,0,0,0,0,0,0,0.01619,0,0
"Anaerotruncus sp. CAG:528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium gonidiaformans",0,0,0,23.97488,0,0,0,0,0,0,0.03738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29783,0,0,5.47935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1571,0,0
"Fusobacterium equinum",0,0,0,14.20204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,0,0
"Prevotella sp. CAG:1320",0,0,0,0,3.41101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella sp. CAG:1124",0,0,0,0,1.42609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
